trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
287,4,0.4,5,10,0,10.0,0.0
288,4,0.6,5,10,0,10.0,0.0
289,4,0.8,5,10,0,10.0,0.0
290,4,1.0,5,10,0,10.0,0.0
291,4,0.2,10,10,0,10.0,0.0
292,4,0.4,10,10,0,10.0,0.0
293,4,0.6,10,10,0,10.0,0.0
294,4,0.8,10,10,0,10.0,0.0
295,4,1.0,10,10,0,10.0,0.0
296,4,0.2,20,10,0,10.0,0.0
297,4,0.4,20,10,0,10.0,0.0
298,4,0.6,20,10,0,10.0,0.0
299,4,0.8,20,10,0,10.0,0.0
300,4,1.0,20,10,0,10.0,0.0
301,4,0.2,40,10,0,10.0,0.0
302,4,0.4,40,10,0,10.0,0.0
303,4,0.6,40,10,0,10.0,0.0
304,4,0.8,40,10,0,10.0,0.0
305,4,1.0,40,10,0,10.0,0.0
306,4,0.2,60,10,0,10.0,0.0
307,4,0.4,60,10,0,10.0,0.0
308,4,0.6,60,10,0,10.0,0.0
309,4,0.8,60,10,0,10.0,0.0
310,4,1.0,60,10,0,10.0,0.0
311,4,0.2,80,10,0,10.0,0.0
312,4,0.4,80,10,0,10.0,0.0
313,4,0.6,80,10,0,10.0,0.0
314,4,0.8,80,10,0,10.0,0.0
315,4,1.0,80,10,0,10.0,0.0
316,4,0.2,3,12,0,10.0,0.0
317,4,0.4,3,12,0,10.0,0.0
318,4,0.6,3,12,0,10.0,0.0
319,4,0.8,3,12,0,10.0,0.0
320,4,1.0,3,12,0,10.0,0.0
321,4,0.2,5,12,0,10.0,0.0
322,4,0.4,5,12,0,10.0,0.0
323,4,0.6,5,12,0,10.0,0.0
324,4,0.8,5,12,0,10.0,0.0
