trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
321,2,0.2,40,12,0,10.0,0.0
322,4,0.2,40,12,0,10.0,0.0
323,2,0.4,40,12,0,10.0,0.0
324,4,0.4,40,12,0,10.0,0.0
325,2,0.6,40,12,0,10.0,0.0
326,4,0.6,40,12,0,10.0,0.0
327,2,0.8,40,12,0,10.0,0.0
328,4,0.8,40,12,0,10.0,0.0
329,2,1.0,40,12,0,10.0,0.0
330,4,1.0,40,12,0,10.0,0.0
331,2,0.2,60,12,0,10.0,0.0
332,4,0.2,60,12,0,10.0,0.0
333,2,0.4,60,12,0,10.0,0.0
334,4,0.4,60,12,0,10.0,0.0
335,2,0.6,60,12,0,10.0,0.0
336,4,0.6,60,12,0,10.0,0.0
337,2,0.8,60,12,0,10.0,0.0
338,4,0.8,60,12,0,10.0,0.0
339,2,1.0,60,12,0,10.0,0.0
340,4,1.0,60,12,0,10.0,0.0
341,2,0.2,80,12,0,10.0,0.0
342,4,0.2,80,12,0,10.0,0.0
343,2,0.4,80,12,0,10.0,0.0
344,4,0.4,80,12,0,10.0,0.0
345,2,0.6,80,12,0,10.0,0.0
346,4,0.6,80,12,0,10.0,0.0
347,2,0.8,80,12,0,10.0,0.0
348,4,0.8,80,12,0,10.0,0.0
349,2,1.0,80,12,0,10.0,0.0
350,4,1.0,80,12,0,10.0,0.0
351,2,0.2,3,4,0,10.0,0.0
352,4,0.2,3,4,0,10.0,0.0
353,2,0.4,3,4,0,10.0,0.0
354,4,0.4,3,4,0,10.0,0.0
355,2,0.6,3,4,0,10.0,0.0
356,4,0.6,3,4,0,10.0,0.0
357,2,0.8,3,4,0,10.0,0.0
358,4,0.8,3,4,0,10.0,0.0
359,2,1.0,3,4,0,10.0,0.0
360,4,1.0,3,4,0,10.0,0.0
361,2,0.2,5,4,0,10.0,0.0
362,4,0.2,5,4,0,10.0,0.0
363,2,0.4,5,4,0,10.0,0.0
364,4,0.4,5,4,0,10.0,0.0
365,2,0.6,5,4,0,10.0,0.0
366,4,0.6,5,4,0,10.0,0.0
367,2,0.8,5,4,0,10.0,0.0
368,4,0.8,5,4,0,10.0,0.0
369,2,1.0,5,4,0,10.0,0.0
370,4,1.0,5,4,0,10.0,0.0
371,2,0.2,10,4,0,10.0,0.0
372,4,0.2,10,4,0,10.0,0.0
373,2,0.4,10,4,0,10.0,0.0
374,4,0.4,10,4,0,10.0,0.0
375,2,0.6,10,4,0,10.0,0.0
376,4,0.6,10,4,0,10.0,0.0
377,2,0.8,10,4,0,10.0,0.0
378,4,0.8,10,4,0,10.0,0.0
379,2,1.0,10,4,0,10.0,0.0
380,4,1.0,10,4,0,10.0,0.0
381,2,0.2,20,4,0,10.0,0.0
382,4,0.2,20,4,0,10.0,0.0
383,2,0.4,20,4,0,10.0,0.0
384,4,0.4,20,4,0,10.0,0.0
385,2,0.6,20,4,0,10.0,0.0
386,4,0.6,20,4,0,10.0,0.0
387,2,0.8,20,4,0,10.0,0.0
388,4,0.8,20,4,0,10.0,0.0
389,2,1.0,20,4,0,10.0,0.0
390,4,1.0,20,4,0,10.0,0.0
391,2,0.2,40,4,0,10.0,0.0
392,4,0.2,40,4,0,10.0,0.0
393,2,0.4,40,4,0,10.0,0.0
394,4,0.4,40,4,0,10.0,0.0
395,2,0.6,40,4,0,10.0,0.0
396,4,0.6,40,4,0,10.0,0.0
397,2,0.8,40,4,0,10.0,0.0
398,4,0.8,40,4,0,10.0,0.0
399,2,1.0,40,4,0,10.0,0.0
400,4,1.0,40,4,0,10.0,0.0
401,2,0.2,60,4,0,10.0,0.0
402,4,0.2,60,4,0,10.0,0.0
403,2,0.4,60,4,0,10.0,0.0
404,4,0.4,60,4,0,10.0,0.0
405,2,0.6,60,4,0,10.0,0.0
406,4,0.6,60,4,0,10.0,0.0
407,2,0.8,60,4,0,10.0,0.0
408,4,0.8,60,4,0,10.0,0.0
409,2,1.0,60,4,0,10.0,0.0
410,4,1.0,60,4,0,10.0,0.0
411,2,0.2,80,4,0,10.0,0.0
412,4,0.2,80,4,0,10.0,0.0
413,2,0.4,80,4,0,10.0,0.0
414,4,0.4,80,4,0,10.0,0.0
415,2,0.6,80,4,0,10.0,0.0
416,4,0.6,80,4,0,10.0,0.0
417,2,0.8,80,4,0,10.0,0.0
418,4,0.8,80,4,0,10.0,0.0
419,2,1.0,80,4,0,10.0,0.0
420,4,1.0,80,4,0,10.0,0.0
421,2,0.2,3,6,0,10.0,0.0
422,4,0.2,3,6,0,10.0,0.0
423,2,0.4,3,6,0,10.0,0.0
424,4,0.4,3,6,0,10.0,0.0
425,2,0.6,3,6,0,10.0,0.0
426,4,0.6,3,6,0,10.0,0.0
427,2,0.8,3,6,0,10.0,0.0
428,4,0.8,3,6,0,10.0,0.0
429,2,1.0,3,6,0,10.0,0.0
430,4,1.0,3,6,0,10.0,0.0
431,2,0.2,5,6,0,10.0,0.0
432,4,0.2,5,6,0,10.0,0.0
433,2,0.4,5,6,0,10.0,0.0
434,4,0.4,5,6,0,10.0,0.0
435,2,0.6,5,6,0,10.0,0.0
436,4,0.6,5,6,0,10.0,0.0
437,2,0.8,5,6,0,10.0,0.0
438,4,0.8,5,6,0,10.0,0.0
439,2,1.0,5,6,0,10.0,0.0
440,4,1.0,5,6,0,10.0,0.0
441,2,0.2,10,6,0,10.0,0.0
442,4,0.2,10,6,0,10.0,0.0
443,2,0.4,10,6,0,10.0,0.0
444,4,0.4,10,6,0,10.0,0.0
445,2,0.6,10,6,0,10.0,0.0
446,4,0.6,10,6,0,10.0,0.0
447,2,0.8,10,6,0,10.0,0.0
448,4,0.8,10,6,0,10.0,0.0
449,2,1.0,10,6,0,10.0,0.0
450,4,1.0,10,6,0,10.0,0.0
451,2,0.2,20,6,0,10.0,0.0
452,4,0.2,20,6,0,10.0,0.0
453,2,0.4,20,6,0,10.0,0.0
454,4,0.4,20,6,0,10.0,0.0
455,2,0.6,20,6,0,10.0,0.0
456,4,0.6,20,6,0,10.0,0.0
457,2,0.8,20,6,0,10.0,0.0
458,4,0.8,20,6,0,10.0,0.0
459,2,1.0,20,6,0,10.0,0.0
460,4,1.0,20,6,0,10.0,0.0
461,2,0.2,40,6,0,10.0,0.0
462,4,0.2,40,6,0,10.0,0.0
463,2,0.4,40,6,0,10.0,0.0
464,4,0.4,40,6,0,10.0,0.0
465,2,0.6,40,6,0,10.0,0.0
466,4,0.6,40,6,0,10.0,0.0
467,2,0.8,40,6,0,10.0,0.0
468,4,0.8,40,6,0,10.0,0.0
469,2,1.0,40,6,0,10.0,0.0
470,4,1.0,40,6,0,10.0,0.0
471,2,0.2,60,6,0,10.0,0.0
472,4,0.2,60,6,0,10.0,0.0
473,2,0.4,60,6,0,10.0,0.0
474,4,0.4,60,6,0,10.0,0.0
475,2,0.6,60,6,0,10.0,0.0
476,4,0.6,60,6,0,10.0,0.0
477,2,0.8,60,6,0,10.0,0.0
478,4,0.8,60,6,0,10.0,0.0
479,2,1.0,60,6,0,10.0,0.0
480,4,1.0,60,6,0,10.0,0.0
481,2,0.2,80,6,0,10.0,0.0
482,4,0.2,80,6,0,10.0,0.0
483,2,0.4,80,6,0,10.0,0.0
484,4,0.4,80,6,0,10.0,0.0
485,2,0.6,80,6,0,10.0,0.0
486,4,0.6,80,6,0,10.0,0.0
487,2,0.8,80,6,0,10.0,0.0
488,4,0.8,80,6,0,10.0,0.0
489,2,1.0,80,6,0,10.0,0.0
490,4,1.0,80,6,0,10.0,0.0
491,2,0.2,3,8,0,10.0,0.0
492,4,0.2,3,8,0,10.0,0.0
493,2,0.4,3,8,0,10.0,0.0
494,4,0.4,3,8,0,10.0,0.0
495,2,0.6,3,8,0,10.0,0.0
496,4,0.6,3,8,0,10.0,0.0
497,2,0.8,3,8,1,7.12,100.0
498,4,0.8,3,8,1,8.16,100.0
499,2,1.0,3,8,0,10.0,0.0
500,4,1.0,3,8,0,10.0,0.0
501,2,0.2,5,8,0,10.0,0.0
502,4,0.2,5,8,0,10.0,0.0
503,2,0.4,5,8,0,10.0,0.0
